id,disease_name,state,case_count,month,year,severity
1,"Dengue","Delhi",3129,1,2022,"High"
2,"Dengue","Maharashtra",4958,1,2022,"High"
3,"Dengue","Karnataka",1415,1,2022,"Medium"
4,"Dengue","Tamil Nadu",4292,1,2022,"High"
5,"Dengue","Rajasthan",869,1,2022,"Low"
6,"Dengue","Uttar Pradesh",1122,1,2022,"Medium"
7,"Dengue","West Bengal",987,1,2022,"Low"
8,"Dengue","Kerala",1756,1,2022,"Medium"
9,"Dengue","Gujarat",5009,1,2022,"High"
10,"Dengue","Madhya Pradesh",4486,1,2022,"High"
11,"Malaria","Delhi",1071,1,2022,"Medium"
12,"Malaria","Maharashtra",3612,1,2022,"High"
13,"Malaria","Karnataka",655,1,2022,"Low"
14,"Malaria","Tamil Nadu",450,1,2022,"Low"
15,"Malaria","Rajasthan",3545,1,2022,"High"
16,"Malaria","Uttar Pradesh",1916,1,2022,"Medium"
17,"Malaria","West Bengal",4067,1,2022,"High"
18,"Malaria","Kerala",1478,1,2022,"Medium"
19,"Malaria","Gujarat",4023,1,2022,"High"
20,"Malaria","Madhya Pradesh",3644,1,2022,"High"
21,"Influenza","Delhi",2581,1,2022,"Medium"
22,"Influenza","Maharashtra",4978,1,2022,"High"
23,"Influenza","Karnataka",2611,1,2022,"Medium"
24,"Influenza","Tamil Nadu",2740,1,2022,"Medium"
25,"Influenza","Rajasthan",155,1,2022,"Low"
26,"Influenza","Uttar Pradesh",1102,1,2022,"Medium"
27,"Influenza","West Bengal",15,1,2022,"Low"
28,"Influenza","Kerala",1988,1,2022,"Medium"
29,"Influenza","Gujarat",285,1,2022,"Low"
30,"Influenza","Madhya Pradesh",2466,1,2022,"Medium"
31,"COVID-19","Delhi",1443,1,2022,"Medium"
32,"COVID-19","Maharashtra",64,1,2022,"Low"
33,"COVID-19","Karnataka",1275,1,2022,"Medium"
34,"COVID-19","Tamil Nadu",2566,1,2022,"Medium"
35,"COVID-19","Rajasthan",2221,1,2022,"Medium"
36,"COVID-19","Uttar Pradesh",2432,1,2022,"Medium"
37,"COVID-19","West Bengal",2791,1,2022,"Medium"
38,"COVID-19","Kerala",2090,1,2022,"Medium"
39,"COVID-19","Gujarat",2403,1,2022,"Medium"
40,"COVID-19","Madhya Pradesh",2252,1,2022,"Medium"
41,"Typhoid","Delhi",1979,1,2022,"Medium"
42,"Typhoid","Maharashtra",3966,1,2022,"High"
43,"Typhoid","Karnataka",709,1,2022,"Low"
44,"Typhoid","Tamil Nadu",1584,1,2022,"Medium"
45,"Typhoid","Rajasthan",2533,1,2022,"Medium"
46,"Typhoid","Uttar Pradesh",1330,1,2022,"Medium"
47,"Typhoid","West Bengal",3217,1,2022,"High"
48,"Typhoid","Kerala",732,1,2022,"Low"
49,"Typhoid","Gujarat",2787,1,2022,"Medium"
50,"Typhoid","Madhya Pradesh",502,1,2022,"Low"
51,"Cholera","Delhi",4615,1,2022,"High"
52,"Cholera","Maharashtra",1868,1,2022,"Medium"
53,"Cholera","Karnataka",1127,1,2022,"Medium"
54,"Cholera","Tamil Nadu",4762,1,2022,"High"
55,"Cholera","Rajasthan",4369,1,2022,"High"
56,"Cholera","Uttar Pradesh",4148,1,2022,"High"
57,"Cholera","West Bengal",1569,1,2022,"Medium"
58,"Cholera","Kerala",2838,1,2022,"Medium"
59,"Cholera","Gujarat",575,1,2022,"Low"
60,"Cholera","Madhya Pradesh",3116,1,2022,"High"
61,"Tuberculosis","Delhi",2533,1,2022,"Medium"
62,"Tuberculosis","Maharashtra",4450,1,2022,"High"
63,"Tuberculosis","Karnataka",531,1,2022,"Low"
64,"Tuberculosis","Tamil Nadu",2920,1,2022,"Medium"
65,"Tuberculosis","Rajasthan",1329,1,2022,"Medium"
66,"Tuberculosis","Uttar Pradesh",4230,1,2022,"High"
67,"Tuberculosis","West Bengal",551,1,2022,"Low"
68,"Tuberculosis","Kerala",200,1,2022,"Low"
69,"Tuberculosis","Gujarat",1223,1,2022,"Medium"
70,"Tuberculosis","Madhya Pradesh",1666,1,2022,"Medium"
71,"Chikungunya","Delhi",3619,1,2022,"High"
72,"Chikungunya","Maharashtra",2080,1,2022,"Medium"
73,"Chikungunya","Karnataka",761,1,2022,"Low"
74,"Chikungunya","Tamil Nadu",2566,1,2022,"Medium"
75,"Chikungunya","Rajasthan",1229,1,2022,"Medium"
76,"Chikungunya","Uttar Pradesh",612,1,2022,"Low"
77,"Chikungunya","West Bengal",719,1,2022,"Low"
78,"Chikungunya","Kerala",3866,1,2022,"High"
79,"Chikungunya","Gujarat",3593,1,2022,"High"
80,"Chikungunya","Madhya Pradesh",4968,1,2022,"High"
