id,name,country,state,city,area,location,latitude,longitude,specialized_departments,bed_capacity,icu_capacity,current_occupancy,contact_number,email
1,"AIIMS New Delhi","India","Delhi","New Delhi","Ansari Nagar","Sri Aurobindo Marg New Delhi 110029",28.5672,77.21,"Cardiology|Neurology|Orthopedics|Oncology",2478,300,2100,"+91 11 2658 8500","info@aiims.edu"
2,"Safdarjung Hospital","India","Delhi","New Delhi","Ring Road","Ansari Nagar West New Delhi 110029",28.5685,77.2066,"General Surgery|Pediatrics|Obstetrics",1531,150,1350,"+91 11 2616 5060","info@safdarjung.nic.in"
3,"Sir Ganga Ram Hospital","India","Delhi","New Delhi","Rajinder Nagar","Sir Ganga Ram Hospital Marg New Delhi 110060",28.6381,77.1854,"Gastroenterology|Nephrology|Pulmonology",675,100,560,"+91 11 2575 0000","info@sgrh.com"
4,"Max Super Speciality Hospital","India","Delhi","New Delhi","Saket","1 2 Press Enclave Road Saket New Delhi 110017",28.5274,77.2153,"Cardiac Sciences|Neurosciences|Oncology",500,80,400,"+91 11 2651 5050","info@maxhealthcare.in"
5,"Fortis Hospital Shalimar Bagh","India","Delhi","New Delhi","Shalimar Bagh","A/B Block Shalimar Bagh New Delhi 110088",28.7161,77.1575,"Orthopedics|Urology|Gynecology",262,40,210,"+91 11 4530 2222","info@fortishealthcare.com"
6,"Narayana Health City","India","Karnataka","Bengaluru","Bommasandra","258/A Bommasandra Industrial Area Bengaluru 560099",12.8161,77.6891,"Cardiac Surgery|Pediatric Heart Surgery|Vascular Surgery",3000,400,2500,"+91 80 7122 2222","info@narayanahealth.org"
7,"NIMHANS","India","Karnataka","Bengaluru","Hosur Road","Hosur Road Lakkasandra Bengaluru 560029",12.9384,77.5962,"Psychiatry|Neurology|Neurosurgery",800,100,700,"+91 80 2699 5000","info@nimhans.ac.in"
8,"Manipal Hospitals Bengaluru","India","Karnataka","Bengaluru","HAL Airport Road","98 HAL Airport Road Bengaluru 560017",12.9591,77.6466,"Organ Transplant|Oncology|Bariatric Surgery",650,120,520,"+91 80 2502 4444","info@manipalhospitals.com"
9,"KEM Hospital","India","Maharashtra","Mumbai","Parel","Acharya Donde Marg Parel Mumbai 400012",18.9944,72.8407,"Emergency Medicine|Burn Unit|Trauma",1800,200,1600,"+91 22 2410 7000","info@kemhospital.org"
10,"Lilavati Hospital","India","Maharashtra","Mumbai","Bandra West","A-791 Bandra Reclamation Bandra West Mumbai 400050",19.057,72.8243,"Cardiology|Neurology|Gastroenterology",325,50,280,"+91 22 2675 1000","info@lilavatihospital.com"
11,"JIPMER","India","Puducherry","Puducherry","Gorimedu","Dhanvantari Nagar Gorimedu Puducherry 605006",11.9358,79.8155,"Nephrology|Cardiology|Neurosurgery",2000,250,1800,"+91 413 222 7000","info@jipmer.edu.in"
12,"Christian Medical College","India","Tamil Nadu","Vellore","Arni Road","Ida Scudder Road Vellore 632004",12.9241,79.1353,"Transplant Surgery|Rheumatology|Hematology",2700,350,2400,"+91 416 228 1000","info@cmcvellore.ac.in"
13,"Apollo Hospitals Chennai","India","Tamil Nadu","Chennai","Greams Road","21 Greams Lane Off Greams Road Chennai 600006",13.056,80.2489,"Cardiac Surgery|Oncology|Spine Surgery",600,100,480,"+91 44 2829 0200","info@apollohospitals.com"
14,"PGIMER Chandigarh","India","Punjab","Chandigarh","Sector 12","Sector 12 Chandigarh 160012",30.7643,76.7794,"Medical Oncology|Cardiology|Neurology",2000,300,1800,"+91 172 274 6018","info@pgimer.edu.in"
15,"Tata Memorial Hospital","India","Maharashtra","Mumbai","Parel","Dr E Borges Road Parel Mumbai 400012",19.0048,72.8428,"Oncology|Radiation Therapy|Bone Marrow Transplant",629,80,580,"+91 22 2417 7000","info@tmc.gov.in"
